human_gse,mouse_gse,jaccard,containment,overlap_count,shared_cuis,human_title,mouse_title
GSE75853,GSE75854,1.0,1.0,19,"['C0003810', 'C0008441', 'C0008972', 'C0018017', 'C0025723', 'C0033414', 'C0086860', 'C0205263', 'C0206723', 'C0557651', 'C0947630', 'C1159269', 'C1571704', 'C1705923', 'C1875701', 'C2603343', 'C2753301', 'C2754763', 'C4727569']",H3K36 mutations promote sarcomagenesis through genome-wide remodeling of H3K36 and H3K27 methylation [RNA_Chondroblastoma_H3K36M_H3WT],H3K36 mutations promote sarcomagenesis through genome-wide remodeling of H3K36 and H3K27 methylation [Ring1a-1b_RNASeq]
GSE109702,GSE67934,1.0,1.0,2,"['C0013862', 'C1704732']",Title not found on the page.,Title not found on the page.
GSE103630,GSE103725,0.9900990099009901,1.0,100,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in melanoma cell lines pre MAPKi treatment vs. post-MAPKi resistance (RNA-seq_CellLine.batch2),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2]
GSE57096,GSE49622,0.9887640449438202,1.0,88,"['C0001675', 'C0002778', 'C0007591', 'C0008546', 'C0013936', 'C0017001', 'C0017262', 'C0017337', 'C0017428', 'C0017471', 'C0019652', 'C0024660', 'C0025723', 'C0035678', 'C0035679', 'C0035680', 'C0035681', 'C0037864', 'C0040649', 'C0079429', 'C0080129', 'C0086153', 'C0086222', 'C0086860', 'C0150775', 'C0162493', 'C0185117', 'C0332257', 'C0332268', 'C0376452', 'C0392747', 'C0441777', 'C0441785', 'C0536221', 'C0585064', 'C0683572', 'C0751606', 'C0872262', 'C0920317', 'C0936012', 'C1148521', 'C1158770', 'C1158817', 'C1158830', 'C1160477', 'C1179412', 'C1279941', 'C1291847', 'C1306673', 'C1325550', 'C1326810', 'C1415740', 'C1417679', 'C1420322', 'C1422338', 'C1427164', 'C1511680', 'C1512977', 'C1513822', 'C1524024', 'C1527171', 'C1554963', 'C1555715', 'C1568630', 'C1704332', 'C1705739', 'C1706450', 'C1720950', 'C1849394', 'C1882071', 'C1956352', 'C2257075', 'C2338314', 'C2717781', 'C2911684', 'C2936263', 'C3536933', 'C3548902', 'C3658291', 'C3829683', 'C3854321', 'C3898883', 'C4086963', 'C4277534', 'C4323874', 'C4699379', 'C4724874', 'C4760607']",Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; RNA-seq],Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [RNA-seq]
GSE96975,GSE96991,0.981651376146789,1.0,107,"['C0001527', 'C0009944', 'C0016030', 'C0016059', 'C0018787', 'C0018799', 'C0021485', 'C0022646', 'C0023884', 'C0023899', 'C0024109', 'C0025914', 'C0025929', 'C0026606', 'C0026809', 'C0030664', 'C0030668', 'C0037083', 'C0039795', 'C0040300', 'C0079189', 'C0083031', 'C0085104', 'C0086418', 'C0087111', 'C0151650', 'C0151654', 'C0162854', 'C0167462', 'C0178784', 'C0203408', 'C0205177', 'C0205469', 'C0221284', 'C0222106', 'C0227614', 'C0227665', 'C0302350', 'C0391978', 'C0412618', 'C0439064', 'C0441655', 'C0441889', 'C0443193', 'C0444099', 'C0456079', 'C0553257', 'C0596138', 'C0597295', 'C0597357', 'C0677042', 'C0721399', 'C0723712', 'C0752312', 'C0919386', 'C0919747', 'C1123023', 'C1150579', 'C1159372', 'C1268110', 'C1272883', 'C1327616', 'C1332762', 'C1332838', 'C1333196', 'C1333340', 'C1334100', 'C1366882', 'C1370600', 'C1413131', 'C1417166', 'C1446614', 'C1448475', 'C1448476', 'C1504308', 'C1511726', 'C1515877', 'C1519615', 'C1521840', 'C1533685', 'C1546437', 'C1546781', 'C1547427', 'C1547707', 'C1699803', 'C1707714', 'C1710082', 'C1742862', 'C1828121', 'C1879547', 'C2700387', 'C3245479', 'C3537152', 'C3714741', 'C3853838', 'C4037972', 'C4037974', 'C4037986', 'C4318409', 'C4520765', 'C4554416', 'C4745169', 'C5237367', 'C5419559', 'C5551416', 'C5551417', 'C5575529']",Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [human],Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [mouse]
GSE97358,GSE96991,0.981651376146789,1.0,107,"['C0001527', 'C0009944', 'C0016030', 'C0016059', 'C0018787', 'C0018799', 'C0021485', 'C0022646', 'C0023884', 'C0023899', 'C0024109', 'C0025914', 'C0025929', 'C0026606', 'C0026809', 'C0030664', 'C0030668', 'C0037083', 'C0039795', 'C0040300', 'C0079189', 'C0083031', 'C0085104', 'C0086418', 'C0087111', 'C0151650', 'C0151654', 'C0162854', 'C0167462', 'C0178784', 'C0203408', 'C0205177', 'C0205469', 'C0221284', 'C0222106', 'C0227614', 'C0227665', 'C0302350', 'C0391978', 'C0412618', 'C0439064', 'C0441655', 'C0441889', 'C0443193', 'C0444099', 'C0456079', 'C0553257', 'C0596138', 'C0597295', 'C0597357', 'C0677042', 'C0721399', 'C0723712', 'C0752312', 'C0919386', 'C0919747', 'C1123023', 'C1150579', 'C1159372', 'C1268110', 'C1272883', 'C1327616', 'C1332762', 'C1332838', 'C1333196', 'C1333340', 'C1334100', 'C1366882', 'C1370600', 'C1413131', 'C1417166', 'C1446614', 'C1448475', 'C1448476', 'C1504308', 'C1511726', 'C1515877', 'C1519615', 'C1521840', 'C1533685', 'C1546437', 'C1546781', 'C1547427', 'C1547707', 'C1699803', 'C1707714', 'C1710082', 'C1742862', 'C1828121', 'C1879547', 'C2700387', 'C3245479', 'C3537152', 'C3714741', 'C3853838', 'C4037972', 'C4037974', 'C4037986', 'C4318409', 'C4520765', 'C4554416', 'C4745169', 'C5237367', 'C5419559', 'C5551416', 'C5551417', 'C5575529']",Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [168 human cardiac fibroblasts],Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [mouse]
GSE75299,GSE103725,0.9805825242718447,1.0,101,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0151779', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment (RNA-seq),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2]
GSE97053,GSE97054,0.978494623655914,1.0,91,"['C0002386', 'C0002793', 'C0005972', 'C0007589', 'C0014597', 'C0024109', 'C0024660', 'C0031437', 'C0034051', 'C0034085', 'C0034963', 'C0037083', 'C0037088', 'C0038888', 'C0038889', 'C0038891', 'C0042834', 'C0043240', 'C0086418', 'C0205224', 'C0205245', 'C0205360', 'C0205409', 'C0225694', 'C0225695', 'C0225698', 'C0225699', 'C0225700', 'C0227130', 'C0242488', 'C0243095', 'C0282637', 'C0334213', 'C0340652', 'C0349676', 'C0374711', 'C0391892', 'C0447411', 'C0449695', 'C0475447', 'C0542341', 'C0561852', 'C0600449', 'C0750927', 'C0752248', 'C0887909', 'C1155711', 'C1158765', 'C1159442', 'C1273342', 'C1285572', 'C1333410', 'C1440080', 'C1511938', 'C1512085', 'C1512977', 'C1515933', 'C1516240', 'C1547311', 'C1548221', 'C1621393', 'C1705181', 'C1706428', 'C1708673', 'C1709959', 'C1764827', 'C1880022', 'C1881379', 'C2226910', 'C2329816', 'C2339454', 'C2350593', 'C2607943', 'C2700217', 'C2717879', 'C2825078', 'C2825141', 'C2926606', 'C2945687', 'C3178810', 'C3263722', 'C3263723', 'C3496194', 'C3537152', 'C4037972', 'C4055157', 'C4318409', 'C4319951', 'C4706387', 'C4727083', 'C5670396']",Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor [human RNA-seq],Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor [mouse RNA-seq]
GSE83652,GSE83651,0.9716312056737588,1.0,137,"['C0000702', 'C0002766', 'C0002842', 'C0002844', 'C0007595', 'C0011546', 'C0012725', 'C0012727', 'C0012854', 'C0013867', 'C0014653', 'C0017262', 'C0017428', 'C0025914', 'C0025929', 'C0026336', 'C0026339', 'C0026809', 'C0026882', 'C0029017', 'C0033137', 'C0034786', 'C0040648', 'C0072461', 'C0079427', 'C0086418', 'C0107720', 'C0179199', 'C0185117', 'C0205216', 'C0205225', 'C0205227', 'C0205415', 'C0295291', 'C0332290', 'C0376298', 'C0376358', 'C0377914', 'C0392756', 'C0439612', 'C0439857', 'C0442797', 'C0443304', 'C0456080', 'C0521114', 'C0522498', 'C0544461', 'C0560184', 'C0580413', 'C0596611', 'C0597611', 'C0599295', 'C0600139', 'C0694888', 'C0700329', 'C0812202', 'C0812380', 'C0887950', 'C1145667', 'C1158517', 'C1167622', 'C1293131', 'C1304888', 'C1308189', 'C1323350', 'C1325410', 'C1331371', 'C1333360', 'C1335497', 'C1367578', 'C1370970', 'C1414467', 'C1419413', 'C1420631', 'C1430988', 'C1447749', 'C1451774', 'C1455722', 'C1510472', 'C1511726', 'C1514521', 'C1514562', 'C1517378', 'C1517945', 'C1518830', 'C1521970', 'C1522634', 'C1524057', 'C1546437', 'C1546937', 'C1551083', 'C1654621', 'C1705285', 'C1705691', 'C1705692', 'C1706388', 'C2239193', 'C2346469', 'C2347509', 'C2348519', 'C2350440', 'C2587213', 'C2911684', 'C3161035', 'C3245479', 'C3714583', 'C3714741', 'C3816734', 'C3828709', 'C3842923', 'C3853906', 'C3854321', 'C3887511', 'C4042916', 'C4054467', 'C4054468', 'C4318409', 'C4319618', 'C4505106', 'C4505109', 'C4527431', 'C4528292', 'C4699379', 'C4761515', 'C4764257', 'C5205215', 'C5205297', 'C5206274', 'C5420392', 'C5420501', 'C5421311', 'C5446495', 'C5447528', 'C5555096', 'C5575229', 'C5668307', 'C5679898']",Loss of Function Mutations in ETS2 Repressor Factor (ERF) Reveal a Balance Between Positive and Negative ETS Factors Controlling Prostate Oncogenesis [VCaP RNA-Seq],Loss of Function Mutations in ETS2 Repressor Factor (ERF) Reveal a Balance Between Positive and Negative ETS Factors Controlling Prostate Oncogenesis [Organoids RNA-Seq]
GSE103630,GSE103713,0.970873786407767,1.0,100,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in melanoma cell lines pre MAPKi treatment vs. post-MAPKi resistance (RNA-seq_CellLine.batch2),Expression changes in YUMM1.7 melanoma with/without PD-L2 overexpression under BRAFi treatment in NSG mice [Y1.7.FPKM.batch4]
